STO sub Energy,STO sub Absorption,Stoichiometric STO Energy,Stoichiometric STO Absorption,Off stoichiometric STO Energy,Off stoichiometric STO Absorption
0.459259259,23.1259,0.459259259,23.9477,0.459259259,77.0119
0.459344323,22.6591,0.459344323,23.4719,0.459344323,77.2038
0.459429418,22.8938,0.459429418,24.2599,0.459429418,77.6167
0.459514545,22.6644,0.459514545,24.5224,0.459514545,78.3868
0.459599703,22.3028,0.459599703,24.5777,0.459599703,79.1618
0.459684893,21.7855,0.459684893,24.2501,0.459684893,79.129
0.459770115,21.7032,0.459770115,24.2809,0.459770115,79.9481
0.459855368,21.4674,0.459855368,24.16,0.459855368,80.6118
0.459940653,21.2666,0.459940653,24.391,0.459940653,80.7628
0.460025969,21.5045,0.460025969,24.2388,0.460025969,81.0908
0.460111317,21.6305,0.460111317,23.9776,0.460111317,81.6381
0.460196697,21.7662,0.460196697,23.8986,0.460196697,81.5742
0.460282108,21.9938,0.460282108,24.1216,0.460282108,81.8969
0.460367552,22.3451,0.460367552,24.3183,0.460367552,81.9338
0.460453026,22.7548,0.460453026,24.2232,0.460453026,82.176
0.460538533,22.7174,0.460538533,24.0245,0.460538533,82.3996
0.460624071,22.996,0.460624071,24.1669,0.460624071,82.4643
0.460709641,23.1328,0.460709641,24.2288,0.460709641,82.7406
0.460795243,23.2901,0.460795243,23.9998,0.460795243,83.0317
0.460880877,23.5231,0.460880877,24.0568,0.460880877,83.1859
0.460966543,23.4922,0.460966543,23.9578,0.460966543,83.2771
0.46105224,23.4542,0.46105224,24.019,0.46105224,83.4344
0.46113797,23.4633,0.46113797,24.0475,0.46113797,83.5161
0.461223731,23.5259,0.461223731,24.1473,0.461223731,83.5107
0.461309524,23.4432,0.461309524,24.1097,0.461309524,83.5323
0.461395349,23.3477,0.461395349,24.1529,0.461395349,83.6835
0.461481206,23.4114,0.461481206,24.1759,0.461481206,83.6607
0.461567095,23.4836,0.461567095,24.2496,0.461567095,83.7834
0.461653016,23.5967,0.461653016,24.3631,0.461653016,83.7835
0.461738969,23.5941,0.461738969,24.3711,0.461738969,83.899
0.461824953,23.6159,0.461824953,24.4352,0.461824953,83.9505
0.46191097,23.7127,0.46191097,24.5297,0.46191097,83.9436
0.461997019,23.7438,0.461997019,24.563,0.461997019,83.9505
0.4620831,23.8834,0.4620831,24.617,0.4620831,84.0164
0.462169214,23.9592,0.462169214,24.668,0.462169214,84.0076
0.462255359,24.1264,0.462255359,24.7548,0.462255359,84.0756
0.462341536,24.26,0.462341536,24.7682,0.462341536,84.1587
0.462427746,24.4435,0.462427746,24.7935,0.462427746,84.2062
0.462513987,24.5225,0.462513987,24.7951,0.462513987,84.2597
0.462600261,24.6011,0.462600261,24.8831,0.462600261,84.2702
0.462686567,24.6162,0.462686567,24.8321,0.462686567,84.381
0.462772905,24.6377,0.462772905,24.7937,0.462772905,84.3259
0.462859276,24.6263,0.462859276,24.797,0.462859276,84.2947
0.462945679,24.624,0.462945679,24.8302,0.462945679,84.2639
0.463032114,24.6082,0.463032114,24.8805,0.463032114,84.2613
0.463118581,24.6113,0.463118581,24.8437,0.463118581,84.2494
0.46320508,24.5045,0.46320508,24.8847,0.46320508,84.2191
0.463291612,24.5347,0.463291612,24.8619,0.463291612,84.1817
0.463378176,24.5384,0.463378176,24.8787,0.463378176,84.2102
0.463464773,24.5292,0.463464773,24.8156,0.463464773,84.21
0.463551402,24.5646,0.463551402,24.812,0.463551402,84.1951
0.463638063,24.6292,0.463638063,24.7654,0.463638063,84.172
0.463724757,24.7338,0.463724757,24.7596,0.463724757,84.1461
0.463811483,24.7569,0.463811483,24.7697,0.463811483,84.1934
0.463898242,24.9324,0.463898242,24.7689,0.463898242,84.2028
0.463985033,25.0008,0.463985033,24.7722,0.463985033,84.2547
0.464071856,25.0655,0.464071856,24.7524,0.464071856,84.2753
0.464158712,25.0984,0.464158712,24.7356,0.464158712,84.3226
0.464245601,25.1474,0.464245601,24.689,0.464245601,84.3551
0.464332522,25.1838,0.464332522,24.6871,0.464332522,84.3534
0.464419476,25.0992,0.464419476,24.5906,0.464419476,84.3478
0.464506462,25.023,0.464506462,24.5032,0.464506462,84.3289
0.464593481,24.9998,0.464593481,24.4917,0.464593481,84.2745
0.464680532,24.9322,0.464680532,24.4952,0.464680532,84.1999
0.464767616,24.8844,0.464767616,24.5062,0.464767616,84.1041
0.464854733,24.7929,0.464854733,24.4978,0.464854733,84.0481
0.464941882,24.8223,0.464941882,24.563,0.464941882,84.0051
0.465029064,24.834,0.465029064,24.6878,0.465029064,83.9849
0.465116279,24.8912,0.465116279,24.8215,0.465116279,83.906
0.465203527,24.8812,0.465203527,24.9023,0.465203527,83.8927
0.465290807,24.9104,0.465290807,25.0605,0.465290807,83.8655
0.46537812,24.9721,0.46537812,25.2047,0.46537812,83.8917
0.465465465,25.0147,0.465465465,25.358,0.465465465,83.9297
0.465552844,25.0216,0.465552844,25.5054,0.465552844,83.9248
0.465640255,25.0366,0.465640255,25.6323,0.465640255,83.9569
0.4657277,25.0383,0.4657277,25.6878,0.4657277,83.9917
0.465815177,25.0836,0.465815177,25.7878,0.465815177,84.0444
0.465902686,25.0569,0.465902686,25.8526,0.465902686,84.0631
0.465990229,25.0698,0.465990229,25.8862,0.465990229,84.0936
0.466077805,25.0689,0.466077805,25.8975,0.466077805,84.1069
0.466165414,25.0709,0.466165414,25.865,0.466165414,84.126
0.466253055,25.0998,0.466253055,25.8516,0.466253055,84.151
0.46634073,25.1179,0.46634073,25.8196,0.46634073,84.1978
0.466428437,25.1455,0.466428437,25.7311,0.466428437,84.2279
0.466516178,25.1606,0.466516178,25.6662,0.466516178,84.2412
0.466603951,25.1759,0.466603951,25.6095,0.466603951,84.27
0.466691758,25.1638,0.466691758,25.524,0.466691758,84.2967
0.466779597,25.1306,0.466779597,25.4371,0.466779597,84.319
0.46686747,25.0913,0.46686747,25.3339,0.46686747,84.3201
0.466955376,25.0727,0.466955376,25.311,0.466955376,84.2975
0.467043315,25.0608,0.467043315,25.2477,0.467043315,84.2988
0.467131286,25.0643,0.467131286,25.2189,0.467131286,84.2847
0.467219292,25.0738,0.467219292,25.2062,0.467219292,84.267
0.46730733,25.0922,0.46730733,25.2094,0.46730733,84.2373
0.467395401,25.0934,0.467395401,25.2254,0.467395401,84.2237
0.467483506,25.1026,0.467483506,25.2273,0.467483506,84.2084
0.467571644,25.1028,0.467571644,25.2617,0.467571644,84.1887
0.467659815,25.097,0.467659815,25.2823,0.467659815,84.172
0.46774802,25.1036,0.46774802,25.3033,0.46774802,84.1601
0.467836257,25.1183,0.467836257,25.3136,0.467836257,84.1584
0.467924528,25.1327,0.467924528,25.3423,0.467924528,84.1667
0.468012833,25.1655,0.468012833,25.3528,0.468012833,84.1649
0.46810117,25.191,0.46810117,25.355,0.46810117,84.1696
0.468189541,25.1912,0.468189541,25.3463,0.468189541,84.1856
0.468277946,25.215,0.468277946,25.3643,0.468277946,84.2113
0.468366383,25.2049,0.468366383,25.3434,0.468366383,84.2161
0.468454855,25.1966,0.468454855,25.3323,0.468454855,84.2297
0.468543359,25.1965,0.468543359,25.3116,0.468543359,84.2214
0.468631897,25.1797,0.468631897,25.3011,0.468631897,84.2422
0.468720469,25.156,0.468720469,25.2731,0.468720469,84.2236
0.468809074,25.1432,0.468809074,25.2539,0.468809074,84.2015
0.468897712,25.1187,0.468897712,25.2541,0.468897712,84.1875
0.468986384,25.1206,0.468986384,25.2758,0.468986384,84.1593
0.46907509,25.0854,0.46907509,25.2859,0.46907509,84.1316
0.469163829,25.0754,0.469163829,25.3106,0.469163829,84.0871
0.469252602,25.075,0.469252602,25.3313,0.469252602,84.0596
0.469341408,25.0674,0.469341408,25.3519,0.469341408,84.0428
