STO sub two theta,STO sub Int,STOonSTO two theta,STOonSTO Int,STOonLSAT sub two theta,STOonLSAT Int
43.5,11,44,0,43.5,6
43.505,7,44.0025,3,43.505,5
43.51,8,44.005,0,43.51,4
43.515,14,44.0075,2,43.515,6
43.52,5,44.01,1,43.52,8
43.525,8,44.0125,0,43.525,4
43.53,4,44.015,3,43.53,4
43.535,10,44.0175,0,43.535,6
43.54,2,44.02,0,43.54,6
43.545,7,44.0225,0,43.545,4
43.55,6,44.025,3,43.55,2
43.555,7,44.0275,1,43.555,5
43.56,4,44.03,3,43.56,4
43.565,10,44.0325,0,43.565,3
43.57,4,44.035,0,43.57,4
43.575,8,44.0375,1,43.575,6
43.58,11,44.04,5,43.58,5
43.585,4,44.0425,3,43.585,6
43.59,7,44.045,0,43.59,6
43.595,1,44.0475,0,43.595,7
43.6,9,44.05,0,43.6,2
43.605,5,44.0525,0,43.605,5
43.61,10,44.055,1,43.61,6
43.615,9,44.0575,1,43.615,6
43.62,8,44.06,1,43.62,8
43.625,8,44.0625,2,43.625,5
43.63,7,44.065,3,43.63,4
43.635,9,44.0675,1,43.635,9
43.64,4,44.07,2,43.64,7
43.645,3,44.0725,3,43.645,5
43.65,4,44.075,5,43.65,8
43.655,8,44.0775,1,43.655,4
43.66,7,44.08,2,43.66,4
43.665,4,44.0825,1,43.665,8
43.67,5,44.085,2,43.67,5
43.675,6,44.0875,0,43.675,9
43.68,5,44.09,0,43.68,10
43.685,6,44.0925,1,43.685,8
43.69,6,44.095,1,43.69,13
43.695,3,44.0975,5,43.695,5
43.7,6,44.1,2,43.7,3
43.705,6,44.1025,1,43.705,6
43.71,9,44.105,1,43.71,5
43.715,7,44.1075,5,43.715,3
43.72,4,44.11,2,43.72,6
43.725,4,44.1125,1,43.725,3
43.73,10,44.115,2,43.73,3
43.735,10,44.1175,0,43.735,6
43.74,6,44.12,0,43.74,6
43.745,5,44.1225,7,43.745,5
43.75,7,44.125,1,43.75,8
43.755,6,44.1275,5,43.755,1
43.76,4,44.13,6,43.76,15
43.765,5,44.1325,2,43.765,4
43.77,3,44.135,5,43.77,14
43.775,4,44.1375,1,43.775,10
43.78,6,44.14,3,43.78,9
43.785,10,44.1425,4,43.785,13
43.79,5,44.145,5,43.79,12
43.795,8,44.1475,5,43.795,9
43.8,4,44.15,3,43.8,11
43.805,9,44.1525,4,43.805,10
43.81,7,44.155,2,43.81,3
43.815,5,44.1575,3,43.815,7
43.82,6,44.16,1,43.82,6
43.825,5,44.1625,4,43.825,13
43.83,7,44.165,4,43.83,6
43.835,7,44.1675,4,43.835,3
43.84,4,44.17,3,43.84,6
43.845,7,44.1725,3,43.845,5
43.85,6,44.175,1,43.85,4
43.855,6,44.1775,2,43.855,7
43.86,6,44.18,1,43.86,11
43.865,5,44.1825,7,43.865,7
43.87,10,44.185,5,43.87,4
43.875,3,44.1875,5,43.875,6
43.88,2,44.19,1,43.88,10
43.885,7,44.1925,0,43.885,8
43.89,3,44.195,3,43.89,9
43.895,7,44.1975,3,43.895,10
43.9,9,44.2,4,43.9,11
43.905,3,44.2025,2,43.905,9
43.91,7,44.205,3,43.91,6
43.915,2,44.2075,2,43.915,14
43.92,6,44.21,1,43.92,18
43.925,7,44.2125,4,43.925,11
43.93,5,44.215,3,43.93,10
43.935,5,44.2175,4,43.935,12
43.94,6,44.22,2,43.94,14
43.945,4,44.2225,5,43.945,16
43.95,6,44.225,5,43.95,10
43.955,4,44.2275,3,43.955,15
43.96,6,44.23,3,43.96,10
43.965,4,44.2325,3,43.965,12
43.97,5,44.235,4,43.97,11
43.975,7,44.2375,2,43.975,9
43.98,10,44.24,4,43.98,8
43.985,6,44.2425,3,43.985,10
43.99,7,44.245,2,43.99,4
43.995,12,44.2475,4,43.995,11
44,7,44.25,4,44,10
44.005,9,44.2525,1,44.005,16
44.01,8,44.255,3,44.01,11
44.015,8,44.2575,6,44.015,14
44.02,7,44.26,7,44.02,11
44.025,5,44.2625,3,44.025,10
44.03,9,44.265,3,44.03,11
44.035,7,44.2675,3,44.035,16
44.04,8,44.27,4,44.04,14
44.045,3,44.2725,5,44.045,8
44.05,9,44.275,2,44.05,7
44.055,4,44.2775,10,44.055,4
44.06,12,44.28,3,44.06,14
44.065,13,44.2825,1,44.065,7
44.07,7,44.285,8,44.07,17
44.075,9,44.2875,9,44.075,14
44.08,7,44.29,3,44.08,15
44.085,5,44.2925,6,44.085,22
44.09,10,44.295,6,44.09,13
44.095,4,44.2975,7,44.095,9
44.1,7,44.3,6,44.1,15
44.105,7,44.3025,5,44.105,12
44.11,5,44.305,4,44.11,10
44.115,13,44.3075,6,44.115,13
44.12,5,44.31,6,44.12,11
44.125,9,44.3125,7,44.125,6
44.13,8,44.315,9,44.13,6
44.135,11,44.3175,3,44.135,15
44.14,10,44.32,7,44.14,7
44.145,9,44.3225,7,44.145,16
44.15,6,44.325,3,44.15,12
44.155,9,44.3275,6,44.155,10
44.16,10,44.33,5,44.16,14
44.165,14,44.3325,9,44.165,15
44.17,10,44.335,8,44.17,17
44.175,10,44.3375,7,44.175,17
44.18,12,44.34,6,44.18,10
44.185,7,44.3425,2,44.185,14
44.19,11,44.345,11,44.19,18
44.195,7,44.3475,10,44.195,11
44.2,9,44.35,9,44.2,8
44.205,10,44.3525,9,44.205,14
44.21,8,44.355,7,44.21,14
44.215,9,44.3575,7,44.215,16
44.22,5,44.36,15,44.22,16
44.225,9,44.3625,8,44.225,16
44.23,9,44.365,7,44.23,17
44.235,6,44.3675,13,44.235,13
44.24,8,44.37,8,44.24,15
44.245,12,44.3725,11,44.245,17
44.25,8,44.375,12,44.25,11
44.255,14,44.3775,21,44.255,20
44.26,11,44.38,20,44.26,12
