Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
0,0,0,0
0.01,0,0.01,0
0.02,0,0.02,0
0.03,0,0.03,0
0.04,0,0.04,0
0.05,0,0.05,0
0.06,0,0.06,0
0.07,0,0.07,0
0.08,0,0.08,0
0.09,0,0.09,0
0.1,0,0.1,0
0.11,0,0.11,0
0.12,0,0.12,0
0.13,0,0.13,0
0.14,0,0.14,0
0.15,0,0.15,0
0.16,0,0.16,0
0.17,0,0.17,1
0.18,1,0.18,6
0.19,1,0.19,0
0.2,5,0.2,6
0.21,9,0.21,8
0.22,6,0.22,7
0.23,5,0.23,6
0.24,9,0.24,9
0.25,16,0.25,16
0.26,21,0.26,12
0.27,20,0.27,13
0.28,29,0.28,8
0.29,10,0.29,10
0.3,11,0.3,6
0.31,6,0.31,13
0.32,15,0.32,6
0.33,5,0.33,4
0.34,10,0.34,2
0.35,11,0.35,8
0.36,22,0.36,13
0.37,25,0.37,20
0.38,23,0.38,22
0.39,37,0.39,35
0.4,34,0.4,26
0.41,57,0.41,40
0.42,54,0.42,40
0.43,43,0.43,49
0.44,52,0.44,54
0.45,60,0.45,52
0.46,67,0.46,59
0.47,75,0.47,67
0.48,122,0.48,91
0.49,197,0.49,162
0.5,302,0.5,256
0.51,413,0.51,312
0.52,433,0.52,353
0.53,390,0.53,296
0.54,260,0.54,213
0.55,180,0.55,169
0.56,113,0.56,76
0.57,50,0.57,30
0.58,27,0.58,28
0.59,15,0.59,9
0.6,12,0.6,9
0.61,6,0.61,3
0.62,9,0.62,10
0.63,10,0.63,8
0.64,5,0.64,10
0.65,8,0.65,7
0.66,22,0.66,6
0.67,10,0.67,10
0.68,9,0.68,8
0.69,10,0.69,6
0.7,13,0.7,7
0.71,9,0.71,7
0.72,10,0.72,4
0.73,5,0.73,6
0.74,17,0.74,6
0.75,4,0.75,3
0.76,7,0.76,9
0.77,10,0.77,7
0.78,6,0.78,10
0.79,12,0.79,7
0.8,9,0.8,4
0.81,7,0.81,10
0.82,6,0.82,8
0.83,11,0.83,10
0.84,11,0.84,12
0.85,14,0.85,8
0.86,6,0.86,5
0.87,6,0.87,6
0.88,4,0.88,5
0.89,10,0.89,3
0.9,7,0.9,11
0.91,8,0.91,8
0.92,8,0.92,3
0.93,8,0.93,3
0.94,12,0.94,11
0.95,8,0.95,4
0.96,6,0.96,12
0.97,8,0.97,5
0.98,8,0.98,10
0.99,5,0.99,4
1,7,1,5
1.01,8,1.01,5
1.02,8,1.02,8
1.03,12,1.03,5
1.04,5,1.04,6
1.05,9,1.05,7
1.06,5,1.06,12
1.07,12,1.07,13
1.08,9,1.08,13
1.09,11,1.09,11
1.1,10,1.1,11
1.11,13,1.11,11
1.12,16,1.12,13
1.13,12,1.13,10
1.14,5,1.14,12
1.15,16,1.15,9
1.16,21,1.16,7
1.17,8,1.17,7
1.18,5,1.18,5
1.19,9,1.19,6
1.2,7,1.2,7
1.21,6,1.21,6
1.22,11,1.22,8
1.23,11,1.23,14
1.24,7,1.24,7
1.25,8,1.25,2
1.26,9,1.26,3
1.27,8,1.27,5
1.28,6,1.28,4
1.29,7,1.29,8
1.3,4,1.3,5
1.31,11,1.31,4
1.32,11,1.32,7
1.33,7,1.33,12
1.34,6,1.34,11
1.35,9,1.35,9
1.36,5,1.36,5
1.37,6,1.37,4
1.38,7,1.38,8
1.39,4,1.39,7
1.4,7,1.4,11
1.41,6,1.41,4
1.42,9,1.42,13
1.43,9,1.43,3
1.44,13,1.44,6
1.45,8,1.45,9
1.46,12,1.46,6
1.47,10,1.47,10
1.48,12,1.48,12
1.49,9,1.49,7
1.5,7,1.5,3
1.51,7,1.51,10
1.52,18,1.52,15
1.53,9,1.53,18
1.54,21,1.54,15
1.55,11,1.55,21
1.56,16,1.56,22
1.57,25,1.57,20
1.58,27,1.58,25
1.59,29,1.59,40
1.6,19,1.6,24
1.61,25,1.61,22
1.62,28,1.62,13
1.63,25,1.63,16
1.64,19,1.64,16
1.65,22,1.65,16
1.66,19,1.66,21
1.67,9,1.67,23
1.68,28,1.68,14
1.69,39,1.69,22
1.7,33,1.7,25
1.71,45,1.71,23
1.72,50,1.72,40
1.73,73,1.73,56
1.74,76,1.74,84
1.75,165,1.75,100
1.76,174,1.76,164
1.77,217,1.77,183
1.78,274,1.78,225
1.79,362,1.79,289
1.8,374,1.8,333
1.81,364,1.81,289
1.82,373,1.82,311
1.83,360,1.83,283
1.84,266,1.84,253
1.85,271,1.85,235
1.86,225,1.86,219
1.87,200,1.87,163
1.88,187,1.88,141
1.89,142,1.89,113
1.9,132,1.9,109
1.91,104,1.91,90
1.92,87,1.92,71
1.93,57,1.93,40
1.94,41,1.94,38
1.95,35,1.95,29
1.96,38,1.96,24
1.97,21,1.97,20
1.98,14,1.98,18
1.99,16,1.99,20
2,15,2,11
2.01,13,2.01,6
2.02,11,2.02,10
2.03,5,2.03,4
